,normalized_url,unibi_word,tfidf,avg_rating
3348,jot.co,bean,9.838255756757151,4.571428571428571
4036,jot.co,drip,8.432790648648986,4.75
5348,jot.co,product,8.432790648648986,4.75
4301,jot.co,flavored,7.027325540540822,5.0
6356,jot.co,yummy,7.027325540540822,5.0
3377,jot.co,beverage,5.6218604324326575,4.5
3454,jot.co,brand,5.6218604324326575,4.75
3628,jot.co,coffee_delicious,5.6218604324326575,5.0
3681,jot.co,coffee_product,5.6218604324326575,4.75
3689,jot.co,coffee_smooth,5.6218604324326575,5.0
3690,jot.co,coffee_snob,5.6218604324326575,4.75
4103,jot.co,endless,5.6218604324326575,5.0
4956,jot.co,milk_ice,5.6218604324326575,5.0
5098,jot.co,obsessed,5.6218604324326575,5.0
5142,jot.co,organic,5.6218604324326575,5.0
5514,jot.co,roasted,5.6218604324326575,5.0
5676,jot.co,snob,5.6218604324326575,4.75
5746,jot.co,standard,5.6218604324326575,4.0
3204,jot.co,adjust,4.216395324324493,5.0
3320,jot.co,bag,4.216395324324493,5.0
3369,jot.co,better_flavor,4.216395324324493,4.666666666666667
3447,jot.co,bought_coffee,4.216395324324493,4.5
3531,jot.co,cake,4.216395324324493,5.0
3608,jot.co,coffee_bean,4.216395324324493,4.333333333333333
3617,jot.co,coffee_coffee,4.216395324324493,5.0
3764,jot.co,concept,4.216395324324493,4.333333333333333
4209,jot.co,fair,4.216395324324493,5.0
4210,jot.co,fair_trade,4.216395324324493,5.0
4245,jot.co,felt,4.216395324324493,3.6666666666666665
4344,jot.co,friendly,4.216395324324493,5.0
4484,jot.co,hint,4.216395324324493,5.0
4529,jot.co,huge_fan,4.216395324324493,4.0
4596,jot.co,instead,4.216395324324493,5.0
4654,jot.co,jot_flavor,4.216395324324493,5.0
4693,jot.co,jot_water,4.216395324324493,3.5
4886,jot.co,make_perfect,4.216395324324493,5.0
4902,jot.co,making_iced,4.216395324324493,5.0
4996,jot.co,mix_tablespoon,4.216395324324493,5.0
5266,jot.co,pleasantly_surprised,4.216395324324493,4.666666666666667
5268,jot.co,pleased,4.216395324324493,5.0
5287,jot.co,possibility,4.216395324324493,5.0
5423,jot.co,real,4.216395324324493,4.666666666666667
5510,jot.co,ritual,4.216395324324493,5.0
5544,jot.co,save_time,4.216395324324493,5.0
