,canonical_brand_url,instagram_id,fct_date,fct_followers_count,fct_following_count,est_following_count,est_posts_count,est_followers_count,fct_posts_count,comments,likes,likes_per_post_pax,comments_per_post_pax,comments_per_post,likes_per_post,name
57,lossundays.com,2179286233,2019-05-01,9961.0,2978.0,2881.559,277.40158,9503.992,291.0,173.0,5993.0,0.0022731561796892298,6.561922561091887e-05,0.6236446075559728,0.6236446075559728,Los Sundays
58,properwhiskey.com,7740896584,2019-05-01,604405.0,2.0,1.8,116.46667,598788.1,128.0,2022.0,201422.0,0.0028882320116130496,2.899387915660448e-05,17.361190536659777,17.361190536659777,Proper 12
59,mezcalrosaluna.com,7617656729,2019-05-01,,,,,,,,,,,,,Rosaluna Mezcal
60,ghosttequila.com,2694491630,2019-05-01,10308.0,1739.0,1735.3334,809.6667,9977.667,808.0,134.0,2844.0,0.00035204186731681585,1.6587064071889354e-05,0.1655002016873896,0.1655002016873896,Ghost Tequila
61,thelongdrink.com,7521961287,2019-05-01,4431.0,627.0,627.0,339.0,4431.0,339.0,17.0,1105.0,0.0007356323675578804,1.1317421039352004e-05,0.05014749262536873,0.05014749262536873,The Long Drink
62,drinkonda.com,19344966306,2019-05-01,,,,,,,,,,,,,Onda
63,teremana.com,16168990751,2019-05-01,,,,,,,,,,,,,Teremana
64,thelongdrink.com,7521961287,2019-06-01,4578.0,661.0,649.6667,357.66666,4529.0,367.0,23.0,1071.0,0.000661163233930182,1.4198650215120619e-05,0.06430568682428128,0.06430568682428128,The Long Drink
65,lossundays.com,2179286233,2019-06-01,10377.0,3154.0,3018.3137,289.74902,9942.208,302.0,236.0,6941.0,0.0024094461164873232,8.19232507550797e-05,0.8144979996831848,0.8144979996831848,Los Sundays
66,properwhiskey.com,7740896584,2019-06-01,612783.0,2.0,1.9032258,129.12903,606011.3,141.0,1541.0,204547.0,0.002613897178522531,1.969237169014075e-05,11.93380001418004,11.93380001418004,Proper 12
67,madremezcal.com,2263717464,2019-06-01,,,,,,,,,,,,,Madre Mezcal
68,teremana.com,16168990751,2019-06-01,,,,,,,,,,,,,Teremana
69,drinkonda.com,19344966306,2019-06-01,,,,,,,,,,,,,Onda
70,ghosttequila.com,2694491630,2019-06-01,10690.0,1422.0,1556.2858,814.4286,10384.714,818.0,89.0,2387.0,0.00028223110356153557,1.0523070053195084e-05,0.1092790715068005,0.1092790715068005,Ghost Tequila
71,mezcalrosaluna.com,7617656729,2019-06-01,,,,,,,,,,,,,Rosaluna Mezcal
72,properwhiskey.com,7740896584,2019-07-01,632046.0,2.0,1.9523809,141.25397,619235.25,153.0,1640.0,174392.0,0.0019937478561971814,1.8749406418662426e-05,11.610293371012032,11.610293371012032,Proper 12
73,mezcalrosaluna.com,7617656729,2019-07-01,,,,,,,,,,,,,Rosaluna Mezcal
74,lossundays.com,2179286233,2019-07-01,10688.0,3243.0,3130.8767,303.40118,10315.834,317.0,259.0,6373.0,0.0020362087661459386,8.275193322325405e-05,0.8536552050171748,0.8536552050171748,Los Sundays
75,madremezcal.com,2263717464,2019-07-01,,,,,,,,,,,,,Madre Mezcal
76,thelongdrink.com,7521961287,2019-07-01,4758.0,673.0,663.0,376.7143,4659.857,391.0,18.0,842.0,0.00047965326872810213,1.0253870352857292e-05,0.04778156885993344,0.04778156885993344,The Long Drink
77,ghosttequila.com,2694491630,2019-07-01,11118.0,1551.0,1553.4667,819.0,10775.8,823.0,93.0,2217.0,0.00025120731231311226,1.0537789826395778e-05,0.11355311355311355,0.11355311355311355,Ghost Tequila
78,drinkonda.com,19344966306,2019-07-01,,,,,,,,,,,,,Onda
79,teremana.com,16168990751,2019-07-01,,,,,,,,,,,,,Teremana
80,thelongdrink.com,7521961287,2019-08-01,4747.0,702.0,683.8,405.66666,4706.3335,431.0,1.0,302.0,0.00015818122401420437,5.23778887464253e-07,0.0024650781226197324,0.0024650781226197324,The Long Drink
81,ghosttequila.com,2694491630,2019-08-01,11630.0,1693.0,1625.4839,826.74194,11216.678,834.0,63.0,2221.0,0.0002395048678924806,6.793699539498548e-06,0.07620273835872705,0.07620273835872705,Ghost Tequila
82,madremezcal.com,2263717464,2019-08-01,,,,,,,,,,,,,Madre Mezcal
83,lossundays.com,2179286233,2019-08-01,11250.0,3362.0,3246.5513,315.71262,10783.373,328.0,224.0,7004.0,0.0020573092128628977,6.579629692765406e-05,0.7095060148738491,0.7095060148738491,Los Sundays
84,properwhiskey.com,7740896584,2019-08-01,634735.0,2.0,1.976378,155.23622,627046.2,169.0,1467.0,138832.0,0.0014262543620126497,1.5070842090242575e-05,9.450114075101137,9.450114075101137,Proper 12
85,drinkonda.com,19344966306,2019-08-01,,,,,,,,,,,,,Onda
86,teremana.com,16168990751,2019-08-01,,,,,,,,,,,,,Teremana
87,mezcalrosaluna.com,7617656729,2019-08-01,,,,,,,,,,,,,Rosaluna Mezcal
88,thelongdrink.com,7521961287,2019-09-01,5003.0,721.0,703.0,389.32257,4859.4517,374.0,11.0,1113.0,0.0005882992782280224,5.814278580869942e-06,0.028254205702419363,0.028254205702419363,The Long Drink
89,lossundays.com,2179286233,2019-09-01,11763.0,3464.0,3355.3289,329.36298,11273.426,343.0,246.0,6564.0,0.0017678193537342957,6.625282769936574e-05,0.7468963358667439,0.7468963358667439,Los Sundays
90,properwhiskey.com,7740896584,2019-09-01,,,1.9882352,165.15686,630335.44,,1710.0,147982.0,0.0014214793348878887,1.6425846810141027e-05,10.353793335378224,10.353793335378224,Proper 12
91,mezcalrosaluna.com,7617656729,2019-09-01,,,,,,,,,,,,,Rosaluna Mezcal
92,drinkonda.com,19344966306,2019-09-01,,,,,,,,,,,,,Onda
93,teremana.com,16168990751,2019-09-01,,,,,,,,,,,,,Teremana
94,ghosttequila.com,2694491630,2019-09-01,,,1685.4286,836.5238,11495.444,,59.0,1981.0,0.00020600625597878144,6.135471530917771e-06,0.07052997145839447,0.07052997145839447,Ghost Tequila
95,madremezcal.com,2263717464,2019-09-01,,,,,,,,,,,,,Madre Mezcal
96,ghosttequila.com,2694491630,2019-10-01,11901.0,1794.0,1740.1417,847.34644,11699.819,858.0,120.0,3690.0,0.00037220842880834876,1.2104339148238984e-05,0.1416185812153117,0.1416185812153117,Ghost Tequila
97,madremezcal.com,2263717464,2019-10-01,16780.0,191.0,191.0,447.0,16780.0,447.0,44.0,3989.0,0.0005318198665184131,5.866150445427469e-06,0.09843400447427293,0.09843400447427293,Madre Mezcal
98,teremana.com,16168990751,2019-10-01,,,,,,,,,,,,,Teremana
99,properwhiskey.com,7740896584,2019-10-01,632463.0,2.0,1.9941292,173.09393,631401.3,181.0,976.0,117346.0,0.0010736950816756371,8.930226848085336e-06,5.638556952803819,5.638556952803819,Proper 12
100,lossundays.com,2179286233,2019-10-01,12468.0,3538.0,3446.6868,338.68375,11870.858,348.0,347.0,7628.0,0.0018972921279164774,8.63083859972493e-05,1.0245546287710323,1.0245546287710323,Los Sundays
101,thelongdrink.com,7521961287,2019-10-01,5417.0,736.0,719.7619,387.63492,5142.651,386.0,59.0,2809.0,0.0014090999696208036,2.9596617375445857e-05,0.15220507035848863,0.15220507035848863,The Long Drink
102,mezcalrosaluna.com,7617656729,2019-10-01,,,,,,,,,,,,,Rosaluna Mezcal
103,drinkonda.com,19344966306,2019-10-01,,,,,,,,,,,,,Onda
104,thelongdrink.com,7521961287,2019-11-01,5471.0,744.0,731.9764,390.3386,5308.118,393.0,70.0,3398.0,0.0016399903801636675,3.3784380992188556e-05,0.17933148640624394,0.17933148640624394,The Long Drink
105,mezcalrosaluna.com,7617656729,2019-11-01,,,,,,,,,,,,,Rosaluna Mezcal
106,lossundays.com,2179286233,2019-11-01,13337.0,3604.0,3525.353,348.34305,12604.019,358.0,271.0,6900.0,0.001571567030143073,6.172386451721345e-05,0.7779687336419757,0.7779687336419757,Los Sundays
