,normalized_url,review_date,count,cumulative,Brand,product_count,reviewsPerProduct
923,neutrogena.com,2022-02-22,69,7433,Neutrogena,742,10.017520215633423
426,cetaphil.com,2022-02-22,11,3582,Cetaphil,175,20.46857142857143
26,cerave.com,2022-02-23,74,11710,Cerave,189,61.957671957671955
1005,neutrogena.com,2022-02-23,34,7467,Neutrogena,742,10.063342318059298
460,cetaphil.com,2022-02-23,9,3591,Cetaphil,175,20.52
726,cleanandclear.com,2022-02-23,1,464,Clean & Clear,74,6.27027027027027
917,hellobubble.com,2022-02-24,1,1075,Bubble,10,107.5
1031,neutrogena.com,2022-02-24,30,7497,Neutrogena,742,10.10377358490566
411,cetaphil.com,2022-02-24,12,3603,Cetaphil,175,20.588571428571427
1,cerave.com,2022-02-24,105,11815,Cerave,189,62.51322751322751
662,cleanandclear.com,2022-02-24,2,466,Clean & Clear,74,6.297297297297297
965,neutrogena.com,2022-02-25,42,7539,Neutrogena,742,10.160377358490566
10,cerave.com,2022-02-25,85,11900,Cerave,189,62.96296296296296
477,cetaphil.com,2022-02-25,8,3611,Cetaphil,175,20.634285714285713
84,cerave.com,2022-02-26,57,11957,Cerave,189,63.264550264550266
440,cetaphil.com,2022-02-26,10,3621,Cetaphil,175,20.69142857142857
663,cleanandclear.com,2022-02-26,2,468,Clean & Clear,74,6.324324324324325
1111,neutrogena.com,2022-02-26,24,7563,Neutrogena,742,10.192722371967655
63,cerave.com,2022-02-27,62,12019,Cerave,189,63.592592592592595
1120,neutrogena.com,2022-02-27,23,7586,Neutrogena,742,10.223719676549866
381,cetaphil.com,2022-02-27,14,3635,Cetaphil,175,20.771428571428572
31,cerave.com,2022-02-28,72,12091,Cerave,189,63.973544973544975
664,cleanandclear.com,2022-02-28,2,470,Clean & Clear,74,6.351351351351352
982,neutrogena.com,2022-02-28,38,7624,Neutrogena,742,10.274932614555256
441,cetaphil.com,2022-02-28,10,3645,Cetaphil,175,20.82857142857143
598,cleanandclear.com,2022-03-01,3,473,Clean & Clear,74,6.391891891891892
78,cerave.com,2022-03-01,58,12149,Cerave,189,64.28042328042328
331,cetaphil.com,2022-03-01,19,3664,Cetaphil,175,20.937142857142856
1072,neutrogena.com,2022-03-01,27,7651,Neutrogena,742,10.31132075471698
442,cetaphil.com,2022-03-02,10,3674,Cetaphil,175,20.994285714285713
2,cerave.com,2022-03-02,93,12242,Cerave,189,64.77248677248677
727,cleanandclear.com,2022-03-02,1,474,Clean & Clear,74,6.405405405405405
1095,neutrogena.com,2022-03-02,25,7676,Neutrogena,742,10.34501347708895
1082,neutrogena.com,2022-03-03,26,7702,Neutrogena,742,10.380053908355794
665,cleanandclear.com,2022-03-03,2,476,Clean & Clear,74,6.4324324324324325
478,cetaphil.com,2022-03-03,8,3682,Cetaphil,175,21.04
79,cerave.com,2022-03-03,58,12300,Cerave,189,65.07936507936508
39,cerave.com,2022-03-04,69,12369,Cerave,189,65.44444444444444
1014,neutrogena.com,2022-03-04,33,7735,Neutrogena,742,10.424528301886792
353,cetaphil.com,2022-03-04,16,3698,Cetaphil,175,21.13142857142857
666,cleanandclear.com,2022-03-05,2,478,Clean & Clear,74,6.45945945945946
1096,neutrogena.com,2022-03-05,25,7760,Neutrogena,742,10.45822102425876
443,cetaphil.com,2022-03-05,10,3708,Cetaphil,175,21.18857142857143
85,cerave.com,2022-03-05,57,12426,Cerave,189,65.74603174603175
728,cleanandclear.com,2022-03-06,1,479,Clean & Clear,74,6.472972972972973
1032,neutrogena.com,2022-03-06,30,7790,Neutrogena,742,10.498652291105122
479,cetaphil.com,2022-03-06,8,3716,Cetaphil,175,21.234285714285715
97,cerave.com,2022-03-06,55,12481,Cerave,189,66.03703703703704
171,cerave.com,2022-03-07,41,12522,Cerave,189,66.25396825396825
497,cetaphil.com,2022-03-07,7,3723,Cetaphil,175,21.274285714285714
1006,neutrogena.com,2022-03-07,34,7824,Neutrogena,742,10.544474393530997
729,cleanandclear.com,2022-03-07,1,480,Clean & Clear,74,6.486486486486487
1097,neutrogena.com,2022-03-08,25,7849,Neutrogena,742,10.578167115902964
517,cetaphil.com,2022-03-08,4,3727,Cetaphil,175,21.297142857142855
120,cerave.com,2022-03-08,49,12571,Cerave,189,66.51322751322752
667,cleanandclear.com,2022-03-08,2,482,Clean & Clear,74,6.513513513513513
1073,neutrogena.com,2022-03-09,27,7876,Neutrogena,742,10.61455525606469
730,cleanandclear.com,2022-03-09,1,483,Clean & Clear,74,6.527027027027027
28,cerave.com,2022-03-09,73,12644,Cerave,189,66.8994708994709
382,cetaphil.com,2022-03-09,14,3741,Cetaphil,175,21.377142857142857
106,cerave.com,2022-03-10,53,12697,Cerave,189,67.17989417989418
731,cleanandclear.com,2022-03-10,1,484,Clean & Clear,74,6.54054054054054
960,neutrogena.com,2022-03-10,43,7919,Neutrogena,742,10.672506738544474
391,cetaphil.com,2022-03-10,13,3754,Cetaphil,175,21.451428571428572
732,cleanandclear.com,2022-03-11,1,485,Clean & Clear,74,6.554054054054054
222,cerave.com,2022-03-11,31,12728,Cerave,189,67.34391534391534
427,cetaphil.com,2022-03-11,11,3765,Cetaphil,175,21.514285714285716
946,neutrogena.com,2022-03-11,47,7966,Neutrogena,742,10.735849056603774
918,hellobubble.com,2022-03-12,1,1076,Bubble,10,107.6
107,cerave.com,2022-03-12,53,12781,Cerave,189,67.62433862433862
412,cetaphil.com,2022-03-12,12,3777,Cetaphil,175,21.582857142857144
992,neutrogena.com,2022-03-12,36,8002,Neutrogena,742,10.784366576819407
599,cleanandclear.com,2022-03-12,3,488,Clean & Clear,74,6.594594594594595
947,neutrogena.com,2022-03-13,47,8049,Neutrogena,742,10.847708894878707
668,cleanandclear.com,2022-03-13,2,490,Clean & Clear,74,6.621621621621622
