,product_name,review_rating,tokenized_review,normalized_url,rating
31,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,substitute,1,Positive
16,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,crisp,1,Positive
33,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,taste,1,Positive
34,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,tasting,1,Positive
35,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,tost,1,Positive
23,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,nonalcoholic,1,Positive
22,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,non,1,Positive
21,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,hit,1,Positive
15,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,cranberry,1,Positive
14,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,bubble,1,Positive
13,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,brought,1,Positive
12,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,beverage,1,Positive
10,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,alternative,1,Positive
36,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,u,1,Positive
30,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,sip,1,Positive
9,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,alcoholic,1,Positive
6,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,absolutely,1,Positive
19,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,guest,1,Positive
20,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,highly,1,Positive
7,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,added,1,Positive
29,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,serve,1,Positive
37,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,want,1,Positive
38,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,well,1,Positive
18,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,ginger,1,Positive
39,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,beverage,1,Negative
154,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,wine,1,Positive
11,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,awesome,1,Positive
49,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,opened,1,Negative
52,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,sweet,1,Negative
51,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,strange,1,Negative
40,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,celebrate,1,Negative
41,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,could,1,Negative
43,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,flavor,1,Negative
50,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,overly,1,Negative
42,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,finish,1,Negative
46,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,looking,1,Negative
45,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,job,1,Negative
44,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,glass,1,Negative
47,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,new,1,Negative
48,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",1.0,non-alcoholic,1,Negative
32,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,sweet,2,Positive
139,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,non,2,Positive
148,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,stuff,2,Positive
152,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,taste,2,Positive
144,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,refreshing,2,Positive
134,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,drink,2,Positive
128,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,alcoholic,2,Positive
8,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,alcohol,2,Positive
17,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,drink,3,Positive
151,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,sweet,3,Positive
122,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,taste,4,Positive
