,normalized_url,rev_count,source_name,review_source_id,reviewer_source_id,product_name,product_source_id,review_date,review_rating,review_content,color,skincare,both color and skincare,parent_category,primary_category,mentions
618,freckbeauty.com,1015,sephora,177551495,11904910673,Cactus Water Cleansing Lactic Acid Toner,P469818,2021-04-10 16:37:39,3.0,"['I', 'received', 'this', 'product', 'complementary', 'from', 'Freck.', 'I', 'have', 'pretty', 'mixed', 'feelings', 'about', 'this..', 'I', 'like', 'the', 'cooling', 'sensation', 'it', 'leaves', 'on', 'the', 'skin,', 'though', 'I am', 'not', 'sure', 'if', 'it is', 'due', 'to', 'the', 'menthol', '(which', 'can', 'be', 'sensitizing).', 'I', 'do not', 'particularly', 'enjoy', 'the', 'scent', 'which', 'smells', 'a', 'bit', 'medicinal', 'to', 'me,', 'but', 'I', 'have not', 'had', 'any', 'adverse', 'effects', 'to', 'this', 'toner.', 'It', 'has', 'a', 'watery', 'consistency', 'that', 'absorbs', 'into', 'the', 'skin', 'very', 'quickly', 'and', 'leaves', 'a', 'slight', 'tackiness.', 'I', 'have', 'yet', 'to', 'see', 'any', 'distinctive', 'evening', 'of', 'my', 'skin', 'tone', 'yet,', 'though', 'my', 'skin', 'does', 'feel', 'pretty', 'balanced', 'afterwards.', 'However,', 'my', 'biggest', 'irk', 'with', 'this', 'product', 'lies', 'in', 'how', 'it is', 'marketed', 'to', 'pick', 'up', 'any', 'leftover', 'residue', 'post-cleanse.', 'Contrary', 'to', 'some', 'claims,', 'I', 'do not', 'see', 'any', 'satisfaction', 'in', 'this.', 'it is', 'a', 'pretty', 'glass', 'bottle', 'for', 'decorative', 'purposes,', 'but', 'not', 'a', 'toner', 'I', 'would', 'continue', 'to', 'gravitate', 'towards.']",False,False,False,Personal Care & Beauty,"Body Wash, Soap & Deodorant",
619,freckbeauty.com,1015,sephora,177532503,10422229385,Freck The Original Freckle,P468653,2021-04-10 11:09:42,5.0,"['Really', 'confused', 'by', 'the', 'reviews', 'of', 'people', 'who', 'are', 'triggered', 'by', 'people', 'wanting', 'to', 'have', 'freckles.', 'It', 'should', 'be', 'a', 'good', 'thing', 'that', 'freckles', 'are', 'a', 'thing', 'people', 'want', 'to', 'achieve,', 'i', 'feel', 'like', 'we', 'are', 'becoming', 'a', 'more', 'accepting', 'society', 'and', 'this', 'should', 'be', 'part', 'of', 'it.', 'Accepting', 'people', 'for', 'who', 'they', 'are,', 'but', 'also', 'accepting', 'them', 'if', 'they', 'want', 'to', 'have', 'fun', 'with', 'their', 'makeup', 'and', 'change', 'things', 'up.', 'let us', 'all', 'be', 'open', 'minded', 'and', 'accepting', 'to', 'all', 'others', 'and', 'leave', 'the', 'judgement', 'behind.']",False,False,False,Personal Care & Beauty,Makeup,
620,freckbeauty.com,1015,sephora,177513387,8409520541,Cactus Water Cleansing Lactic Acid Toner,P469818,2021-04-09 22:24:12,5.0,"['Love', 'this', 'water!', 'Super', 'refreshing', 'and', 'I', 'love', 'seeing', 'any', 'left', 'over', 'dry', 'skin', 'or', 'makeup', 'that', 'it', 'takes', 'off', 'without', 'being', 'harsh', 'on', 'my', 'sensitive', 'skin.', 'And', 'the', 'bottle', 'of', 'course', 'is', 'so', 'cute!', 'Great', 'for', 'year', 'round', 'skincare!']",False,True,False,Personal Care & Beauty,"Body Wash, Soap & Deodorant",
621,freckbeauty.com,1015,sephora,177510194,10130755801,Cactus Water Cleansing Lactic Acid Toner,P469818,2021-04-09 21:15:08,5.0,"['This', 'is', 'a', 'really', 'nice,', 'refreshing', 'toner.', 'At', 'first,', 'I', 'was', 'a', 'little', 'startled', 'by', 'the', 'cooling', 'effect', 'it', 'has', '(similar', 'to', 'tea', 'tree)', 'but', 'it is', 'so', 'nice', 'once', 'you', 'know', 'to', 'expect', 'it.', 'it is', 'super', 'satisfying', 'to', 'see', 'the', 'leftover', 'residue', 'on', 'a', 'cotton', 'pad,', 'but', 'I', 'also', 'like', 'to', 'pat', 'it', 'in', 'with', 'my', 'hands.', 'Definitely', 'worth', 'a', 'try!']",False,False,False,Personal Care & Beauty,"Body Wash, Soap & Deodorant",
622,freckbeauty.com,1015,sephora,177507902,29697440171,Freck The Original Freckle,P468653,2021-04-09 20:36:25,5.0,"['LOVE.', 'I', 'used', 'to', 'get', 'crafty', 'for', 'fake', 'freckles', 'as', 'I am', 'sure', 'most', 'of', 'us', 'starting', 'out,', 'did.', 'I', 'was', 'skeptical', 'about', 'this', 'purchase', 'because', 'of', 'course', 'thought', 'I', 'could', 'achieve', 'it', 'other', 'ways.....but', 'boy', 'was', 'I', 'wrong.', 'This', 'product', 'is', 'perfect.', 'It', 'is', 'the', 'right', 'color,', 'texture', 'etc', 'and', 'does not', 'rub', 'off', 'or', 'sit', 'on', 'top', 'of', 'makeup', 'but', 'rather', 'soaks', 'in', 'like', 'a', 'henna', 'almost!', 'But', 'do not', 'worry,', 'it is', 'not', 'permanent', 'in', 'any', 'way,', 'it', 'comes', 'off', 'with', 'a', 'makeup', 'wipe!', 'But', 'stays', 'during', 'the', 'day', 'and', 'LASTS!', 'I', 'will', 'be', 're-purchasing.', 'Only', 'thing', 'is', 'I', 'wish', 'it', 'came', 'with', 'more', 'product!']",True,False,False,Personal Care & Beauty,Makeup,
623,freckbeauty.com,1015,sephora,177506062,31127393327,Cactus Water Cleansing Lactic Acid Toner,P469818,2021-04-09 20:05:50,5.0,"['I', 'cannot', 'believe', 'the', 'difference', 'I have', 'seen', 'in', 'my', 'skin', 'since', 'using', 'the', 'Cactus', 'Water', 'Cleansing', 'Toner.', 'I have', 'always', 'struggled', 'to', 'find', 'a', 'product', 'to', 'help', 'balance', 'out', 'my', 'skin', 'without', 'clogging', 'my', 'pores', 'or', 'breaking', 'me', 'out.', 'This', 'product', 'does', 'the', 'trick,', 'helping', 'to', 'brighten', 'my', 'complexion', 'and', 'keep', 'my', 'skin', 'smooth', 'and', 'hydrated.']",False,False,False,Personal Care & Beauty,"Body Wash, Soap & Deodorant",
624,freckbeauty.com,1015,sephora,177461974,8613088817,Cactus Water Cleansing Lactic Acid Toner,P469818,2021-04-09 02:23:56,5.0,"['This', 'is', 'a', 'great', 'toner!', 'I', 'have', 'sensitive', 'skin', 'and', 'some', 'toners', 'can', 'feel', 'really', 'drying,', 'but', 'this', 'one', 'does not', 'have', 'that', 'problem', 'at', 'all.', 'Feels', 'clean', 'and', 'light', 'going', 'on,', 'and', 'no', 'residue', 'feeling', 'either.', 'The', 'packaging', 'is', 'also', 'SO', 'nice', '-', 'the', 'glass', 'bottle', 'looks', 'almost', 'like', 'perfume', 'on', 'my', 'counter', 'and', 'there is', 'SO', 'much', 'product!']",False,False,False,Personal Care & Beauty,"Body Wash, Soap & Deodorant",
625,freckbeauty.com,1015,sephora,177453923,2315822610,Freck The Original Freckle,P468653,2021-04-09 00:01:39,3.0,"['Actual', 'customer..', 'did not', 'have', 'this', 'gifted.', 'I', 'like', 'the', 'product', 'but', 'for', 'the', 'XL', 'size', 'there is', 'barely', 'any', 'product', 'inside.', 'It', 'does', 'look', 'natural,', 'wish', 'the', 'brush', 'was', 'a', 'little', 'thicker', 'for', 'a', 'better', 'dot', 'application.', 'Def', 'need', 'to', 'add', 'more', 'product', 'to', 'the', 'bottle,', 'Freck.']",False,False,False,Personal Care & Beauty,Makeup,
626,freckbeauty.com,1015,sephora,177450018,9908965389,Cactus Water Cleansing Lactic Acid Toner,P469818,2021-04-08 22:55:24,3.0,"['I', 'have', 'super', 'mixed', 'feelings', 'about', 'this', 'product.', 'I', 'think', 'the', 'smell', 'is', 'kind of', 'strong', 'and', 'i', 'do not', 'enjoy', 'the', 'menthol,', 'but', 'i', 'kind of', 'like', 'the', 'refreshing', 'feeling.', 'I', 'prefer', 'some', 'other', 'toners', 'over', 'this,', 'but', 'this', 'was not', 'terrible']",False,False,False,Personal Care & Beauty,"Body Wash, Soap & Deodorant",
627,freckbeauty.com,1015,sephora,177431604,7091658769,Cactus Water Cleansing Lactic Acid Toner,P469818,2021-04-08 18:10:19,5.0,"['The', 'feeling', 'of', 'using', 'this', 'product', 'is', 'amazing!', 'I', 'use', 'couple', 'of', 'toners', 'and', 'nothing', 'else', 'beats', 'this', 'one!', 'My', 'skin', 'is', 'glowing', 'and', 'clean!', 'it is', 'very', 'gentle', 'with', 'my', 'sensitive', 'skin', 'I', 'do not', 'have', 'no', 'redness', 'like', 'most', 'toners', 'leave', 'on', 'my', 'face.']",False,False,False,Personal Care & Beauty,"Body Wash, Soap & Deodorant",
