source_name,tokenized_review,tokenized_review
credo,initially,9
credo,juice,9
credo,keeping,9
credo,love,9
credo,moisturizes,9
credo,needed,9
credo,often,9
credo,old,9
credo,painful,9
credo,provides,9
credo,red,9
credo,refreshed,9
credo,seem,9
credo,soothing,9
credo,step,9
credo,streak,9
credo,swipe,9
credo,throughout,9
credo,unfortunately,9
credo,us,9
credo,weather,9
credo,wonder,9
credo,along,8
credo,balm,8
credo,bump,8
credo,burn,8
credo,circle,8
credo,control,8
credo,cystic,8
credo,double,8
credo,drop,8
credo,due,8
credo,fade,8
credo,finding,8
credo,forehead,8
credo,forever,8
credo,fully,8
credo,glowing,8
credo,home,8
credo,instead,8
credo,jar,8
credo,lather,8
credo,let,8
credo,literally,8
credo,maskne,8
credo,mud,8
credo,normally,8
credo,out,8
credo,protects,8
credo,reapply,8
credo,recommended,8
credo,repurchasing,8
credo,rich,8
credo,skinned,8
credo,sold,8
credo,stop,8
credo,struggled,8
credo,switch,8
credo,tend,8
credo,thank,8
credo,tingle,8
credo,ton,8
credo,took,8
credo,trick,8
credo,unlike,8
credo,wake,8
credo,weird,8
credo,went,8
credo,wipe,8
credo,wow,8
credo,acid,7
credo,add,7
credo,addition,7
credo,although,7
credo,appear,7
credo,beach,7
credo,brown,7
credo,came,7
credo,changed,7
credo,cheek,7
credo,cleanse,7
credo,coming,7
credo,company,7
credo,forward,7
credo,friend,7
credo,fun,7
credo,gave,7
credo,hoping,7
credo,irritated,7
credo,large,7
credo,leaving,7
credo,liked,7
credo,low,7
credo,mind,7
credo,mix,7
credo,normal,7
credo,noticeable,7
credo,ocean,7
credo,otherwise,7
credo,past,7
credo,per,7
credo,person,7
credo,pilling,7
credo,pleased,7
credo,probiotic,7
credo,protected,7
credo,pump,7
credo,rather,7
credo,recycled,7
credo,reminds,7
credo,shower,7
credo,significantly,7
credo,silky,7
credo,similar,7
credo,someone,7
credo,soon,7
credo,surface,7
credo,third,7
credo,thought,7
credo,three,7
credo,weight,7
credo,whole,7
credo,zero,7
credo,“,7
credo,”,7
credo,absorb,6
credo,aha,6
credo,anyone,6
credo,bay,6
credo,beat,6
credo,behind,6
credo,benefit,6
credo,broken,6
credo,clogging,6
credo,complaint,6
credo,concealer,6
credo,cover,6
credo,darker,6
credo,deep,6
credo,difficult,6
credo,enjoyed,6
credo,enjoying,6
credo,everyone,6
credo,excellent,6
credo,expected,6
credo,fast,6
credo,fruity,6
credo,game,6
credo,hold,6
credo,hope,6
credo,hot,6
credo,husband,6
credo,hyperpigmentation,6
credo,improved,6
credo,jawline,6
credo,kept,6
credo,lol,6
credo,mild,6
credo,minimal,6
credo,mint,6
credo,mom,6
credo,money,6
credo,naked,6
credo,nose,6
credo,onto,6
credo,option,6
credo,others,6
credo,outside,6
credo,place,6
credo,plastic,6
credo,priced,6
credo,rid,6
credo,saw,6
credo,sensation,6
credo,sent,6
credo,seriously,6
credo,simple,6
credo,soak,6
credo,solid,6
credo,sort,6
credo,spa,6
credo,staple,6
credo,supergoop,6
credo,term,6
credo,thanks,6
credo,tiny,6
credo,true,6
credo,typically,6
credo,value,6
credo,absorbing,5
credo,active,5
credo,added,5
credo,anymore,5
credo,appreciate,5
credo,barely,5
credo,basic,5
credo,beginning,5
credo,believe,5
credo,bigger,5
credo,breaking,5
credo,brightens,5
credo,burning,5
credo,calm,5
credo,caused,5
credo,chapped,5
credo,colder,5
credo,cooling,5
credo,cupcake,5
credo,deal,5
credo,decent,5
credo,decided,5
credo,dirt,5
credo,etc,5
credo,expecting,5
credo,expensive,5
credo,film,5
credo,fit,5
credo,foam,5
credo,follow,5
credo,gently,5
credo,gloss,5
credo,goodness,5
credo,grail,5
credo,gross,5
credo,head,5
credo,heavier,5
credo,holy,5
credo,honey,5
credo,hooked,5
credo,house,5
credo,hunt,5
credo,im,5
credo,including,5
credo,incredible,5
credo,incredibly,5
credo,insta,5
credo,ive,5
credo,jelly,5
credo,lately,5
credo,least,5
credo,mean,5
credo,moisturize,5
credo,mostly,5
credo,multiple,5
credo,okay,5
credo,overly,5
credo,overwhelming,5
credo,peel,5
credo,picky,5
credo,pill,5
credo,pink,5
credo,play,5
credo,plump,5
credo,pop,5
credo,provide,5
credo,purchasing,5
credo,quick,5
credo,reading,5
credo,reduced,5
credo,reduces,5
credo,reef,5
credo,return,5
credo,rubbed,5
credo,sadly,5
credo,salicylic,5
credo,scented,5
credo,seeing,5
credo,service,5
credo,settle,5
credo,shrink,5
credo,sits,5
credo,sleep,5
credo,softer,5
credo,spread,5
credo,struggling,5
credo,stubborn,5
credo,tan,5
credo,thicker,5
credo,tingly,5
credo,version,5
credo,wait,5
credo,whitehead,5
credo,win,5
credo,worried,5
credo,yummy,5
credo,absorbed,4
credo,activity,4
credo,adore,4
credo,age,4
credo,artificial,4
credo,awhile,4
credo,balance,4
credo,barrier,4
credo,besides,4
credo,blending,4
credo,blur,4
credo,blurring,4
credo,bother,4
credo,box,4
credo,boyfriend,4
credo,bright,4
credo,brings,4
credo,case,4
credo,chemical,4
credo,chest,4
credo,clearer,4
credo,coconut,4
credo,compared,4
credo,consistently,4
credo,cute,4
credo,disappears,4
credo,disappointed,4
credo,discovered,4
credo,dryness,4
credo,easier,4
credo,effectively,4
credo,effort,4
credo,eleven,4
credo,entire,4
credo,experience,4
credo,expert,4
credo,fact,4
credo,faded,4
credo,faint,4
credo,flaky,4
credo,gift,4
credo,gunk,4
