,product_name,review_rating,tokenized_review,normalized_url
61,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,festive,1
60,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,feeling,1
38,"TOST Rose Sparkling White Tea, Ginger and Elderberry, 25.4 FZ",5.0,well,1
58,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,enjoy,1
56,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,could,1
64,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,hoped,1
127,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,alcohol,1
72,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,much,1
125,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,whole,1
88,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,unfortunately,1
87,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,trying,1
86,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,thing,1
85,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,tasting,1
84,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,taste,1
126,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,adult,1
91,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,wanted,1
81,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,serf,1
79,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,purpose,1
78,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,punch,1
153,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",5.0,u,1
76,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,pregnant,1
75,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,ok,1
90,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,want,1
92,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,well,1
108,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,head,1
101,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,bottle,1
94,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,without,1
95,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,would,1
96,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,added,1
97,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,ale,1
98,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,amazing,1
99,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,anyone,1
89,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,unlike,1
93,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,wintery,1
102,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,bueno,1
103,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,bunch,1
104,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,day,1
105,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,fizzed,1
106,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,flowery,1
107,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,ginger,1
100,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,artificial,1
83,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,sweet,1
82,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",3.0,socially,1
110,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,ok,1
124,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,upright,1
123,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,tea,1
121,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,sure,1
120,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,sugar,1
119,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,subtle,1
118,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,standing,1
117,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,somewhere,1
109,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,issue,1
115,"Tost, Sparkling Beverage Tea Cranberry Ginger Spice, 25.36 Fl Oz",4.0,pretty,1
