,normalized_url,unibi_word,tfidf
270,jot.co,bean,9.838255756757151
264,jot.co,product,8.432790648648986
304,jot.co,drip,8.432790648648986
253,jot.co,flavored,7.027325540540822
271,jot.co,yummy,7.027325540540822
252,jot.co,coffee_smooth,5.6218604324326575
255,jot.co,snob,5.6218604324326575
255,jot.co,coffee_snob,5.6218604324326575
259,jot.co,standard,5.6218604324326575
260,jot.co,beverage,5.6218604324326575
263,jot.co,milk_ice,5.6218604324326575
264,jot.co,coffee_product,5.6218604324326575
290,jot.co,obsessed,5.6218604324326575
347,jot.co,endless,5.6218604324326575
356,jot.co,coffee_delicious,5.6218604324326575
359,jot.co,brand,5.6218604324326575
379,jot.co,roasted,5.6218604324326575
379,jot.co,organic,5.6218604324326575
247,jot.co,taste_cold,4.216395324324493
249,jot.co,zero,4.216395324324493
250,jot.co,start,4.216395324324493
254,jot.co,adjust,4.216395324324493
257,jot.co,felt,4.216395324324493
259,jot.co,jot_water,4.216395324324493
260,jot.co,mix_tablespoon,4.216395324324493
264,jot.co,better_flavor,4.216395324324493
269,jot.co,concept,4.216395324324493
270,jot.co,coffee_bean,4.216395324324493
275,jot.co,bought_coffee,4.216395324324493
278,jot.co,coffee_coffee,4.216395324324493
278,jot.co,ultra,4.216395324324493
282,jot.co,fair,4.216395324324493
282,jot.co,trade,4.216395324324493
282,jot.co,fair_trade,4.216395324324493
288,jot.co,hint,4.216395324324493
288,jot.co,cake,4.216395324324493
292,jot.co,real,4.216395324324493
294,jot.co,time_coffee,4.216395324324493
296,jot.co,friendly,4.216395324324493
304,jot.co,instead,4.216395324324493
308,jot.co,jot_flavor,4.216395324324493
308,jot.co,stomach,4.216395324324493
309,jot.co,ritual,4.216395324324493
311,jot.co,save_time,4.216395324324493
312,jot.co,huge_fan,4.216395324324493
317,jot.co,bag,4.216395324324493
319,jot.co,making_iced,4.216395324324493
340,jot.co,water_milk,4.216395324324493
347,jot.co,possibility,4.216395324324493
348,jot.co,pleased,4.216395324324493
359,jot.co,pleasantly_surprised,4.216395324324493
375,jot.co,make_perfect,4.216395324324493
244,jot.co,bland,2.8109302162163288
246,jot.co,balance,2.8109302162163288
246,jot.co,much_bitter,2.8109302162163288
246,jot.co,perfect_balance,2.8109302162163288
248,jot.co,reminds,2.8109302162163288
248,jot.co,little_le,2.8109302162163288
249,jot.co,water_tablespoon,2.8109302162163288
249,jot.co,packaged,2.8109302162163288
250,jot.co,way_start,2.8109302162163288
250,jot.co,latte_add,2.8109302162163288
251,jot.co,milk_tablespoon,2.8109302162163288
251,jot.co,take_tablespoon,2.8109302162163288
253,jot.co,coffee_option,2.8109302162163288
253,jot.co,quick_coffee,2.8109302162163288
253,jot.co,coffee_flavored,2.8109302162163288
254,jot.co,adjust_flavor,2.8109302162163288
255,jot.co,bitter_aftertaste,2.8109302162163288
255,jot.co,smooth_full,2.8109302162163288
255,jot.co,value,2.8109302162163288
255,jot.co,jot_try,2.8109302162163288
257,jot.co,online,2.8109302162163288
257,jot.co,try_coffee,2.8109302162163288
257,jot.co,safe,2.8109302162163288
259,jot.co,purchased,2.8109302162163288
259,jot.co,dairy,2.8109302162163288
259,jot.co,drink_black,2.8109302162163288
260,jot.co,hot_beverage,2.8109302162163288
260,jot.co,beverage_make,2.8109302162163288
260,jot.co,coffee_super,2.8109302162163288
260,jot.co,vanilla_syrup,2.8109302162163288
260,jot.co,syrup_ice,2.8109302162163288
264,jot.co,useful,2.8109302162163288
266,jot.co,bit_pricey,2.8109302162163288
266,jot.co,taste_convenient,2.8109302162163288
266,jot.co,pricey,2.8109302162163288
267,jot.co,jot_quick,2.8109302162163288
267,jot.co,cold_milk,2.8109302162163288
270,jot.co,one_thing,2.8109302162163288
272,jot.co,larger,2.8109302162163288
272,jot.co,gourmet,2.8109302162163288
272,jot.co,gourmet_coffee,2.8109302162163288
273,jot.co,prep,2.8109302162163288
273,jot.co,latte_morning,2.8109302162163288
274,jot.co,space_fridge,2.8109302162163288
275,jot.co,creamy,2.8109302162163288
275,jot.co,shop_quality,2.8109302162163288
275,jot.co,wanting,2.8109302162163288
275,jot.co,case,2.8109302162163288
278,jot.co,putting,2.8109302162163288
278,jot.co,local_coffee,2.8109302162163288
278,jot.co,hold,2.8109302162163288
278,jot.co,ultra_coffee,2.8109302162163288
278,jot.co,stop,2.8109302162163288
288,jot.co,absolutely_jot,2.8109302162163288
288,jot.co,hint_bitterness,2.8109302162163288
288,jot.co,glad_decided,2.8109302162163288
288,jot.co,decided_try,2.8109302162163288
289,jot.co,ounce,2.8109302162163288
289,jot.co,whole_milk,2.8109302162163288
292,jot.co,different_taste,2.8109302162163288
292,jot.co,basically,2.8109302162163288
292,jot.co,make_taste,2.8109302162163288
292,jot.co,rotation,2.8109302162163288
292,jot.co,real_coffee,2.8109302162163288
292,jot.co,keep_rotation,2.8109302162163288
294,jot.co,delivered,2.8109302162163288
294,jot.co,coffee_requires,2.8109302162163288
294,jot.co,refreshing,2.8109302162163288
294,jot.co,requires,2.8109302162163288
296,jot.co,visit,2.8109302162163288
297,jot.co,magic,2.8109302162163288
298,jot.co,problem,2.8109302162163288
299,jot.co,law,2.8109302162163288
303,jot.co,smooth_tasting,2.8109302162163288
304,jot.co,cup_hot,2.8109302162163288
305,jot.co,change,2.8109302162163288
307,jot.co,dessert,2.8109302162163288
310,jot.co,coffee_could,2.8109302162163288
311,jot.co,recommended_friend,2.8109302162163288
315,jot.co,ice_latte,2.8109302162163288
317,jot.co,took,2.8109302162163288
318,jot.co,found_jot,2.8109302162163288
319,jot.co,chef,2.8109302162163288
322,jot.co,quarter,2.8109302162163288
323,jot.co,simple_delicious,2.8109302162163288
325,jot.co,time_iced,2.8109302162163288
325,jot.co,dish,2.8109302162163288
328,jot.co,repeat,2.8109302162163288
328,jot.co,jot_convenient,2.8109302162163288
330,jot.co,long_time,2.8109302162163288
330,jot.co,one_tasting,2.8109302162163288
331,jot.co,disappoint,2.8109302162163288
333,jot.co,americano,2.8109302162163288
334,jot.co,iced_hot,2.8109302162163288
338,jot.co,thought_would,2.8109302162163288
340,jot.co,mix_water,2.8109302162163288
340,jot.co,road_trip,2.8109302162163288
348,jot.co,protective,2.8109302162163288
355,jot.co,packed_well,2.8109302162163288
356,jot.co,vanilla_ice,2.8109302162163288
356,jot.co,write,2.8109302162163288
356,jot.co,add_tablespoon,2.8109302162163288
356,jot.co,fan_coffee,2.8109302162163288
356,jot.co,min,2.8109302162163288
358,jot.co,keep_going,2.8109302162163288
361,jot.co,pump,2.8109302162163288
363,jot.co,perfect_taste,2.8109302162163288
363,jot.co,coconut_milk,2.8109302162163288
363,jot.co,perfect_way,2.8109302162163288
364,jot.co,jot_tablespoon,2.8109302162163288
365,jot.co,balanced,2.8109302162163288
366,jot.co,cup_black,2.8109302162163288
367,jot.co,water_cup,2.8109302162163288
367,jot.co,elixir,2.8109302162163288
369,jot.co,jot_easy,2.8109302162163288
378,jot.co,buzz,2.8109302162163288
378,jot.co,drip_coffee,2.8109302162163288
379,jot.co,organic_fair,2.8109302162163288
379,jot.co,toss,2.8109302162163288
386,jot.co,month,2.8109302162163288
388,jot.co,strong_make,2.8109302162163288
389,jot.co,milk_delicious,2.8109302162163288
389,jot.co,coffee_pot,2.8109302162163288
390,jot.co,normally,2.8109302162163288
392,jot.co,saying,2.8109302162163288
396,jot.co,full_bodied,2.8109302162163288
396,jot.co,bodied,2.8109302162163288
404,jot.co,started_jot,2.8109302162163288
406,jot.co,make_pot,2.8109302162163288
409,jot.co,jot_smooth,2.8109302162163288
409,jot.co,boiling,2.8109302162163288
412,jot.co,delicious_without,2.8109302162163288
413,jot.co,amazing_coffee,2.8109302162163288
413,jot.co,jot_amazing,2.8109302162163288
413,jot.co,cooking,2.8109302162163288
414,jot.co,slump,2.8109302162163288
416,jot.co,run,2.8109302162163288
416,jot.co,turn,2.8109302162163288
417,jot.co,important,2.8109302162163288
426,jot.co,amazon_coffee,2.8109302162163288
431,jot.co,boil_water,2.8109302162163288
243,jot.co,convenient_buy,1.4054651081081644
244,jot.co,black_ives,1.4054651081081644
244,jot.co,ives_coffee,1.4054651081081644
244,jot.co,bland_black,1.4054651081081644
244,jot.co,ives,1.4054651081081644
245,jot.co,taste_quite,1.4054651081081644
245,jot.co,convenience_care,1.4054651081081644
245,jot.co,costly_thought,1.4054651081081644
245,jot.co,gave_away,1.4054651081081644
245,jot.co,quite_costly,1.4054651081081644
245,jot.co,thought_gave,1.4054651081081644
245,jot.co,costly,1.4054651081081644
245,jot.co,thing_convenience,1.4054651081081644
245,jot.co,care_taste,1.4054651081081644
246,jot.co,bitter_little,1.4054651081081644
246,jot.co,balance_concentrate,1.4054651081081644
246,jot.co,little_enough,1.4054651081081644
246,jot.co,liquid_still,1.4054651081081644
246,jot.co,finding,1.4054651081081644
246,jot.co,finding_perfect,1.4054651081081644
246,jot.co,still_process,1.4054651081081644
246,jot.co,process_much,1.4054651081081644
246,jot.co,concentrate_liquid,1.4054651081081644
247,jot.co,ease_taste,1.4054651081081644
247,jot.co,brew_recipe,1.4054651081081644
247,jot.co,recipe_flavor,1.4054651081081644
248,jot.co,sold_lately,1.4054651081081644
248,jot.co,concentrate_saw,1.4054651081081644
248,jot.co,saw_sold,1.4054651081081644
248,jot.co,concentrate_used,1.4054651081081644
248,jot.co,javy_little,1.4054651081081644
248,jot.co,used_exactly,1.4054651081081644
248,jot.co,lot_javy,1.4054651081081644
248,jot.co,lately,1.4054651081081644
248,jot.co,exactly_javy,1.4054651081081644
248,jot.co,reminds_lot,1.4054651081081644
248,jot.co,lately_jot,1.4054651081081644
249,jot.co,tablespoon_bland,1.4054651081081644
249,jot.co,artfully,1.4054651081081644
249,jot.co,additional,1.4054651081081644
249,jot.co,add_additional,1.4054651081081644
249,jot.co,tablespoon_extremely,1.4054651081081644
249,jot.co,flavor_literally,1.4054651081081644
249,jot.co,bitter_water,1.4054651081081644
249,jot.co,bland_coffee,1.4054651081081644
249,jot.co,delivers_zero,1.4054651081081644
249,jot.co,literally_make,1.4054651081081644
249,jot.co,extremely_expensive,1.4054651081081644
249,jot.co,waste_money,1.4054651081081644
249,jot.co,zero_coffee,1.4054651081081644
249,jot.co,expensive_waste,1.4054651081081644
249,jot.co,additional_tablespoon,1.4054651081081644
249,jot.co,packaged_delivers,1.4054651081081644
249,jot.co,artfully_packaged,1.4054651081081644
249,jot.co,cup_bitter,1.4054651081081644
250,jot.co,surprisingly_latte,1.4054651081081644
250,jot.co,ask_question,1.4054651081081644
250,jot.co,versatile_quick,1.4054651081081644
250,jot.co,ask,1.4054651081081644
250,jot.co,question,1.4054651081081644
250,jot.co,milk_ask,1.4054651081081644
250,jot.co,start_make,1.4054651081081644
250,jot.co,serving_chocolate,1.4054651081081644
250,jot.co,tasty_versatile,1.4054651081081644
250,jot.co,make_surprisingly,1.4054651081081644
250,jot.co,chocolate_milk,1.4054651081081644
250,jot.co,add_serving,1.4054651081081644
251,jot.co,feel_tablespoon,1.4054651081081644
251,jot.co,tablespoon_feel,1.4054651081081644
251,jot.co,tablespoon_instant,1.4054651081081644
251,jot.co,taste_milk,1.4054651081081644
251,jot.co,tablespoon_taste,1.4054651081081644
251,jot.co,instant_buy,1.4054651081081644
252,jot.co,concentration_right,1.4054651081081644
252,jot.co,right_either,1.4054651081081644
252,jot.co,either_hot,1.4054651081081644
252,jot.co,concentration,1.4054651081081644
253,jot.co,easy_ice,1.4054651081081644
253,jot.co,option_prefer,1.4054651081081644
253,jot.co,prefer_instant,1.4054651081081644
253,jot.co,flavored_homemade,1.4054651081081644
253,jot.co,homemade_ice,1.4054651081081644
253,jot.co,cream_quick,1.4054651081081644
253,jot.co,instant_option,1.4054651081081644
254,jot.co,starbucks_worth,1.4054651081081644
254,jot.co,found_adjust,1.4054651081081644
254,jot.co,break_bank,1.4054651081081644
254,jot.co,wide_something,1.4054651081081644
254,jot.co,buff,1.4054651081081644
254,jot.co,desire_starbucks,1.4054651081081644
254,jot.co,bank,1.4054651081081644
254,jot.co,comparable_searched,1.4054651081081644
254,jot.co,searched,1.4054651081081644
254,jot.co,wide,1.4054651081081644
254,jot.co,coffee_buff,1.4054651081081644
254,jot.co,flavor_desire,1.4054651081081644
254,jot.co,shot_luck,1.4054651081081644
254,jot.co,comparable,1.4054651081081644
254,jot.co,worth_shot,1.4054651081081644
254,jot.co,something_similar,1.4054651081081644
254,jot.co,break,1.4054651081081644
254,jot.co,searched_wide,1.4054651081081644
254,jot.co,similar_break,1.4054651081081644
254,jot.co,desire,1.4054651081081644
254,jot.co,pretty_comparable,1.4054651081081644
254,jot.co,buff_pretty,1.4054651081081644
254,jot.co,bank_found,1.4054651081081644
254,jot.co,luck,1.4054651081081644
254,jot.co,starbucks_ice,1.4054651081081644
255,jot.co,creative,1.4054651081081644
255,jot.co,use_personalize,1.4054651081081644
255,jot.co,tell,1.4054651081081644
255,jot.co,value_money,1.4054651081081644
255,jot.co,full_consistent,1.4054651081081644
255,jot.co,experience_glad,1.4054651081081644
255,jot.co,trying_jot,1.4054651081081644
255,jot.co,glad_gave,1.4054651081081644
255,jot.co,let,1.4054651081081644
255,jot.co,consistent_bitter,1.4054651081081644
255,jot.co,cup_value,1.4054651081081644
255,jot.co,jot_let,1.4054651081081644
255,jot.co,tell_flavor,1.4054651081081644
255,jot.co,personalize_creative,1.4054651081081644
255,jot.co,long_considered,1.4054651081081644
255,jot.co,let_tell,1.4054651081081644
255,jot.co,gave_jot,1.4054651081081644
255,jot.co,considered,1.4054651081081644
255,jot.co,creative_one,1.4054651081081644
255,jot.co,money_value,1.4054651081081644
