Owner Role,Opportunity Owner,Account Name (DBA),Opportunity Name,Stage,Fiscal Period,Amount,Probability (%),Age,Fund/Close Date,Created Date,Next Step,Lead Source,Type,Website
Equity Fund,Aditi Dash,Wholier,Wholier - October 2020,Closed Passed,Q4-2020,,1/0/00,80,44196,44116,,,,livewholier.com
Equity Fund,Aditi Dash,R3set,R3set - October 2020,Closed Passed,Q4-2020,,1/0/00,78,44196,44118,,Helio,,r3set.com
Equity Fund,Aditi Dash,Lambs,Lambs - October 2020,Closed Passed,Q4-2020,,1/0/00,80,44196,44116,,Investor Referral,,getlambs.com
Equity Fund,Aditi Dash,Alchemy 43,Alchemy 43 - October 2020,Closed Passed,Q4-2020,,1/0/00,72,44196,44124,,Inbound,,alchemy43.com
Equity Fund,Aditi Dash,Brami,Brami - October 2020,Closed Passed,Q4-2020,,1/0/00,71,44196,44125,,Helio,,bramisnacks.com
Equity Fund,Aditi Dash,OUTLAW SOAPS,OUTLAW SOAPS - October 2020,Closed Passed,Q4-2020,,1/0/00,64,44196,44132,,Inbound,,liveoutlaw.com
Equity Fund,Aditi Dash,O'My Gelato,O'My Gelato - October 2020,Closed Passed,Q4-2020,,1/0/00,64,44196,44132,,Investor Referral,,omygelato.com
Equity Fund,Aditi Dash,BranchOut (fka AvoLov),BranchOut (fka AvoLov) - October 2020,Closed Passed,Q4-2020,,1/0/00,64,44196,44132,,Investor Referral,,branchoutfood.com
Equity Fund,Aditi Dash,Sunday To Sunday,Sunday To Sunday - October 2020,Closed Passed,Q4-2020,,1/0/00,71,44196,44125,,Investor Referral,,mysunday2sunday.com
Equity Fund,Aditi Dash,Better Not Younger,Better Not Younger - October 2020,Closed Passed,Q4-2020,,1/0/00,71,44196,44125,,Helio,,better-notyounger.com
Equity Fund,Aditi Dash,Le Mec,Le Mec - November 2020,Closed Passed,Q4-2020,,1/0/00,50,44196,44146,,Referral from CircleUp Employee,,lemec.co
Equity Fund,Aditi Dash,Siren Snacks,Siren Snacks - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Manual,,sirensnacks.com
Equity Fund,Aditi Dash,Pricklee,Pricklee - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Helio,,pricklee.com
Equity Fund,Aditi Dash,Laiki,Laiki - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Other Referral,,laikicrackers.com
Equity Fund,Aditi Dash,Veracity Selfcare,Veracity Selfcare - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Investor Referral,,veracityselfcare.com
Equity Fund,Aditi Dash,Whip & Whimsy,Whip & Whimsy - November 2020,Closed Passed,Q4-2020,,1/0/00,52,44196,44144,,Other Referral,,whipandwhimsy.com
Equity Fund,Aditi Dash,Madre Mezcal,Madre Mezcal - November 2020,Closed Passed,Q4-2020,,1/0/00,52,44196,44144,,Inbound,,madremezcal.com
Equity Fund,Aditi Dash,Collective Laboratories,Collective Labs - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Manual,,collectivelaboratories.com
Equity Fund,Aditi Dash,Stratia Skin,Stratia Skin - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Other Referral,,stratiaskin.com
Equity Fund,Aditi Dash,Chickapea,Chickapea - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Inbound,,choosechickapea.com
Equity Fund,Aditi Dash,Bissy Energy,Bissy Energy - November 2020,Closed Passed,Q4-2020,,1/0/00,52,44196,44144,,Referral from CircleUp Employee,,bissyenergy.com
Equity Fund,Aditi Dash,ONEHOPE Wine,ONEHOPE Wine - November 2020,Closed Passed,Q4-2020,,1/0/00,50,44196,44146,,Referral from CircleUp Employee,,onehopewine.com
Equity Fund,Aditi Dash,De Lune,De Lune - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Manual,,delune.co
Equity Fund,Aditi Dash,Fre Skincare,Fre Skincare - November 2020,Closed Passed,Q4-2020,,1/0/00,56,44196,44140,,Other Referral,,freskincare.com
Equity Fund,Aditi Dash,Obour Foods,Obour Foods - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Other Referral,,obourfoods.com
Equity Fund,Aditi Dash,Elix,Elix - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Referral from CircleUp Employee,,elixhealing.com
Equity Fund,Aditi Dash,Volley,Volley - November 2020,Closed Lost,Q4-2020,,1/0/00,57,44196,44139,,Manual,,drinkvolley.com
Equity Fund,Aditi Dash,Go Big,Go Big - November 2020,Closed Passed,Q4-2020,,1/0/00,52,44196,44144,,Inbound,,gobigenergy.com
Equity Fund,Aditi Dash,Ocelot Market,Ocelot Market - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,,,ocelotmarket.com
Equity Fund,Aditi Dash,Calicraft,Calicraft - November 2020,Closed Passed,Q4-2020,,1/0/00,57,44196,44139,,Referral from CircleUp Employee,,calicraft.com
Equity Fund,Aditi Dash,Raaka Chocolate,Raaka Chocolate - November 2020,Closed Passed,Q4-2020,,1/0/00,35,44196,44161,,Other Referral,,raakachocolate.com
Equity Fund,Aditi Dash,Good Feeding,Good Feeding - November 2020,Closed Passed,Q4-2020,,1/0/00,37,44196,44159,,,,goodfeeding.com
Equity Fund,Aditi Dash,Tame the Beast,Tame the Beast - November 2020,Closed Passed,Q4-2020,,1/0/00,37,44196,44159,,Helio,,getbeast.com
Equity Fund,Aditi Dash,OLITA Shop,OLITA Shop - November 2020,Closed Passed,Q4-2020,,1/0/00,36,44196,44160,,,,olitashop.com
Equity Fund,Aditi Dash,Raised Real,Raised Real - November 2020,Closed Passed,Q4-2020,,1/0/00,43,44196,44153,,Inbound,,raisedreal.com
Equity Fund,Aditi Dash,Breadblok,Breadblok - November 2020,Closed Passed,Q4-2020,,1/0/00,43,44196,44153,,Inbound,,breadblok.com
Equity Fund,Aditi Dash,eboost,eboost - November 2020,Closed Passed,Q4-2020,,1/0/00,37,44196,44159,,Helio,,eboost.com
Equity Fund,Aditi Dash,Ficks & Co,Ficks & Co - December 2020,Closed Passed,Q4-2020,,1/0/00,30,44196,44166,,Inbound,,ficksdrink.com
Equity Fund,Aditi Dash,Floramye,Floramye - December 2020,Closed Passed,Q4-2020,,1/0/00,15,44196,44181,,Other Referral,,floramye.com
Equity Fund,Aditi Dash,Sienna Naturals,Sienna Naturals - December 2020,Closed Passed,Q4-2020,,1/0/00,3,44196,44193,,Other Referral,,siennanaturals.com
Equity Fund,Aditi Dash,Mosaic Foods,Mosaic - December 2020,Closed Passed,Q4-2020,,1/0/00,15,44196,44181,,Inbound,,mosaicfoods.com
Equity Fund,Aditi Dash,Puffworks,Puffworks - December 2020,Closed Passed,Q4-2020,,1/0/00,15,44196,44181,,Inbound,,puffworks.com
Equity Fund,Aditi Dash,Oats Overnight,Oats Overnight - December 2020,Closed Passed,Q4-2020,,1/0/00,14,44196,44182,,Inbound,,oatsovernight.com
Equity Fund,Aditi Dash,Hugh & Grace,Hugh & Grace - December 2020,Closed Passed,Q4-2020,,1/0/00,15,44196,44181,,Inbound,,hughgrace.com
Equity Fund,Aditi Dash,DeeBee's Organics,DeeBee's Organics - September 2020,Closed Lost,Q4-2020,,1/0/00,104,44196,44092,,Helio,,deebeesorganics.com
Equity Fund,Aditi Dash,Bigger Bolder Baking,Gemma's Bigger Bolder Baking - May 2020,Closed Passed,Q4-2020,,1/0/00,228,44196,43968,,Helio,,biggerbolderbaking.com
Equity Fund,Aditi Dash,Force of Nature,Force of Nature - May 2020,Closed Lost,Q4-2020,,1/0/00,228,44196,43968,,Helio,,forceofnatureclean.com
Equity Fund,Aditi Dash,White Leaf Provisions,White Leaf Provisions - May 2020,Closed Passed,Q4-2020,,1/0/00,228,44196,43968,,Helio,,whiteleafprovisions.com
Equity Fund,Aditi Dash,Fuel for Fire,Fuel for Fire - May 2020,Closed Passed,Q4-2020,,1/0/00,228,44196,43968,,Helio,,fuelforfire.com
Equity Fund,Aditi Dash,DUDE Products,DUDE Products - May 2020,Closed Passed,Q4-2020,,1/0/00,228,44196,43968,,Helio,,dudeproducts.com
Equity Fund,Aditi Dash,Monday,Monday - May 2020,Closed Passed,Q4-2020,,1/0/00,225,44196,43971,,Inbound,,drinkmonday.co
Equity Fund,Aditi Dash,Perennial,Perennial - May 2020,Closed Passed,Q4-2020,,1/0/00,228,44196,43968,,Manual,,liveperennial.com
Equity Fund,Aditi Dash,Kaleidoscope Labs,Kaleidoscope Labs - May 2020,Closed Passed,Q4-2020,,1/0/00,228,44196,43968,,Helio,,kaleidoscopelabs.com
