,sff2022 company name,normalized_url,fct_date,score_date,parent_category,parent_category_hgp_score,overall_hgp_score,overall_feature_density,t12m_nielsen_sales,t12m_nielsen_sales_pct_growth,nielsen_feature_density,nielsen_score,parent_category_nielsen_score,nielsen_weight,offline_distribution_feature_density,offline_distribution_score,parent_category_offline_distribution_score,offline_distribution_weight,reviews_feature_density,reviews_score,parent_category_reviews_score,reviews_weight,social_feature_density,social_score,parent_category_social_score,social_weight,web_feature_density,web_score,parent_category_web_score,web_weight,overall_confidence,reliability_bucket
1089141,iLOLA LLC.,ilolatea.com,2021-12,2021-12,Non-Alcoholic Beverages,0.7920413238951598,0.8398749766430549,0.11188811188811189,,,,,,0.4,,,,0.3,,,,0.1,0.061224489795918366,0.6393781877498507,0.6129661339421614,0.15,0.325,0.841259551357444,0.8342268172825323,0.05,0.0239749336894751,low
1093038,Inaexpo U.S.A. Ltd. Co.,inaexpo.com,2021-12,2021-12,Other,0.7471960136063212,0.7295802544632999,0.27972027972027974,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,1.0,0.8875506010221219,0.8903093658288507,0.05,0.049999999999999996,low
1094084,A3K Imports LLC,indialicious.com,2021-12,2021-12,Other,0.6661535739064243,0.6544666972430312,0.2097902097902098,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.75,0.7692885892526864,0.7677866737097347,0.05,0.03853003177896193,low
1094578,"India Tree, Inc.",indiatree.com,2021-12,2021-12,Food,0.00985989707018139,0.0027967181368801918,0.972027972027972,7155418.46875,-0.09248789113313516,1.0,0.03043073723386788,0.036463344237059846,0.4,1.0,0.1981181825751478,0.21276808979755463,0.3,1.0,0.8772608229483416,0.8797780517879161,0.1,0.9183673469387755,0.3467628543858843,0.3676100883951018,0.15,1.0,0.5504813006647942,0.555331541218638,0.05,0.9844206927810997,high
1102376,Intenso Aroma Di Caffe',intenso.biz,2021-12,2021-12,Other,0.6378356286743949,0.6033212726562367,0.23076923076923078,,,,,,0.4,,,,0.3,,,,0.1,0.061224489795918366,0.6425263061158848,0.64648622186723,0.15,0.75,0.27004739201090555,0.2842468014683673,0.05,0.047895268031972305,low
1102456,InterSource Inc.,inter-sourceinc.com,2021-12,2021-12,Food Establishments,0.17691674403124946,0.22439450304914302,0.4125874125874126,,,,,,0.4,,,,0.3,,,,0.1,0.5714285714285714,0.2939289160501769,0.2367426628038796,0.15,0.775,0.6507184307782099,0.7005535895728952,0.05,0.12072092112209236,low
1102583,Intercomm Foods S.a.,intercomm.gr,2021-12,2021-12,Other,0.2898267188373393,0.3049958382170582,0.21678321678321677,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.775,0.18001685623697775,0.16907718481450834,0.05,0.04038139509360417,low
1102938,Plentiful Pantry,intermountainfood.com,2021-12,2021-12,Food,0.3097458514086083,0.29248398987582597,0.21678321678321677,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,0.775,0.15829421412046563,0.17919340386171811,0.05,0.04038139509360417,low
1103505,INTERVAL,intervalexport.com,2021-12,2021-12,Food,0.7380342281346316,0.7554563522397187,0.26573426573426573,,,,,,0.4,,,,0.3,,,,0.1,0.14285714285714285,0.70543812893443,0.7066047244459377,0.15,0.775,0.3168567811661822,0.32535191929702856,0.05,0.06099580094679916,low
1104216,International Spice,intspice.com,2021-12,2021-12,Food,0.32249658945727255,0.3168085070240704,0.27972027972027974,,,,,,0.4,,,,0.3,,,,0.1,,,,0.15,1.0,0.20030284086773567,0.20222352295063012,0.05,0.049999999999999996,low
1105219,"IOS Naturals, LLC",iosorganic.com,2021-12,2021-12,Other,0.8597178177078798,0.8462640778678082,0.26573426573426573,,,,,,0.4,0.14285714285714285,0.5566904438091538,0.554966296590008,0.3,,,,0.1,,,,0.15,0.875,0.9525420062459229,0.9549740029305532,0.05,0.06786763429031613,low
1111952,N-choice,n-choice.net,2021-12,2021-12,Food,0.45402444041835993,0.44505393330955173,0.24475524475524477,,,,,,0.4,,,,0.3,,,,0.1,0.14285714285714285,0.5817580296834076,0.5895478295121471,0.15,0.7,0.1796189184390771,0.1824705168227541,0.05,0.05693626695796126,low
1121133,Natura Natural Products LLC,naturanatural.us,2021-12,2021-12,Food,0.8336376957001899,0.8630138103246191,0.20279720279720279,,,,,,0.4,,,,0.3,,,,0.1,0.30612244897959184,0.7177135505215274,0.7133241424053199,0.15,0.35,0.729921317153704,0.7174709503988901,0.05,0.0640634584825446,low
