,canonical_brand_url,instagram_id,fct_date,fct_followers_count,fct_following_count,est_following_count,est_posts_count,est_followers_count,fct_posts_count,sum(comments_count),sum(likes_count)
97,innbeautyproject.com,13337820465,2015-12-01,,,,,,,,
98,cleanandclear.com,2683864880119081946,2016-01-01,,,127.0,498.42856,39461.43,,,
99,hellobubble.com,12011987834,2016-01-01,,,,,,,,
100,cerave.com,2702483799947922141,2016-01-01,,,,,,,,
101,cetaphil.com,327543926,2016-01-01,,,,,,,,
102,innbeautyproject.com,13337820465,2016-01-01,,,,,,,,
103,neutrogena.com,2702576867654680863,2016-01-01,,,,,,,,
104,lovekinship.com,2706309817806813229,2016-01-01,,,,,,,,
105,rosenskincare.com,2700700217578606056,2016-01-01,,,,,,,,
106,cleanandclear.com,2683864880119081946,2016-02-01,41806.0,127.0,127.0,505.13333,40711.867,511.0,,
107,neutrogena.com,2702576867654680863,2016-02-01,49992.0,175.0,175.0,175.0,49992.0,175.0,,
108,lovekinship.com,2706309817806813229,2016-02-01,,,,,,,,
109,cerave.com,2702483799947922141,2016-02-01,,,,,,,,
110,rosenskincare.com,2700700217578606056,2016-02-01,,,,,,,,
111,cetaphil.com,327543926,2016-02-01,,,,,,,,
112,hellobubble.com,12011987834,2016-02-01,,,,,,,,
113,innbeautyproject.com,13337820465,2016-02-01,,,,,,,,
114,rosenskincare.com,2700700217578606056,2016-03-01,,,,,,,,
115,cleanandclear.com,2683864880119081946,2016-03-01,43569.0,127.0,127.0,508.1613,42186.516,511.0,,
116,innbeautyproject.com,13337820465,2016-03-01,,,,,,,,
117,lovekinship.com,2706309817806813229,2016-03-01,,,,,,,,
118,cetaphil.com,327543926,2016-03-01,6901.0,102.0,102.0,102.0,6901.0,102.0,,
119,neutrogena.com,2702576867654680863,2016-03-01,59822.0,176.0,175.66667,194.33333,56545.332,204.0,,
120,hellobubble.com,12011987834,2016-03-01,,,,,,,,
121,cerave.com,2702483799947922141,2016-03-01,,,,,,,,
122,rosenskincare.com,2700700217578606056,2016-04-01,,,,,,,,
123,cerave.com,2702483799947922141,2016-04-01,,,,,,,,
124,cleanandclear.com,2683864880119081946,2016-04-01,,,127.25397,511.38095,43920.855,,,
125,innbeautyproject.com,13337820465,2016-04-01,,,,,,,,
126,neutrogena.com,2702576867654680863,2016-04-01,,,175.85715,215.09525,63792.953,,,
127,cetaphil.com,327543926,2016-04-01,,,102.666664,112.0,7212.0,,,
128,hellobubble.com,12011987834,2016-04-01,,,,,,,,
129,lovekinship.com,2706309817806813229,2016-04-01,,,,,,,,
130,innbeautyproject.com,13337820465,2016-05-01,,,,,,,,
131,lovekinship.com,2706309817806813229,2016-05-01,,,,,,,,
132,cleanandclear.com,2683864880119081946,2016-05-01,47633.0,128.0,127.62992,514.71655,45791.543,518.0,,
133,hellobubble.com,12011987834,2016-05-01,,,,,,,,
134,cetaphil.com,327543926,2016-05-01,7834.0,104.0,103.42857,123.42857,7567.4287,132.0,,
135,rosenskincare.com,2700700217578606056,2016-05-01,,,,,,,,
136,cerave.com,2702483799947922141,2016-05-01,,,,,,,,
137,neutrogena.com,2702576867654680863,2016-05-01,,,175.93333,237.62222,71708.89,,,
138,cerave.com,2702483799947922141,2016-06-01,,,,,,,,
139,neutrogena.com,2702576867654680863,2016-06-01,88042.0,176.0,175.96774,261.55914,80138.88,284.0,,
140,innbeautyproject.com,13337820465,2016-06-01,,,,,,,,
141,hellobubble.com,12011987834,2016-06-01,,,,,,,,
142,lovekinship.com,2706309817806813229,2016-06-01,,,,,,,,
143,rosenskincare.com,2700700217578606056,2016-06-01,,,,,,,,
144,cetaphil.com,327543926,2016-06-01,8218.0,108.0,105.86667,145.06667,7914.4,164.0,,
145,cleanandclear.com,2683864880119081946,2016-06-01,48398.0,130.0,128.81961,519.37646,47099.883,524.0,,
146,cerave.com,2702483799947922141,2016-07-01,,,,,,,,
147,cetaphil.com,327543926,2016-07-01,,,108.860214,159.48387,8331.397,,,
